# initial_x = 1
x,y
1.0101,1.01899
0.912112,-2.02473
1.33066,2.78394
1.06856,-0.631387
1.3278,-2.7867
1.24857,0.791704
1.66159,0.943554
1.49194,-0.871363
1.32079,0.460028
1.55545,0.577898
1.54958,-1.5993
1.37979,-0.867237
1.42064,-0.0282865
1.35254,-0.347393
1.48145,-0.0476218
1.31063,-0.478173
1.53247,1.09203
1.3969,-2.0784
1.25636,1.34921
1.33741,-2.43089
1.21769,1.56595
1.09487,-2.27161
1.45009,1.09483
1.48108,-2.02321
1.24381,-0.308159
1.55424,2.05839
1.19204,-1.16272
1.57557,2.14177
1.08923,-0.344616
1.42785,-2.54426
1.23307,0.0378592
1.58216,1.83867
1.28307,-1.25859
1.51121,1.30729
1.3665,-2.08127
1.26075,1.50273
1.17824,-2.41935
1.32793,1.59934
1.16953,-2.28354
1.40739,1.16792
1.50848,-1.92614
1.24782,-0.548593
1.53776,2.16531
1.163,-1.03899
1.72307,0.34835
1.15675,-0.784579
1.71531,-0.413211
1.26114,-1.08351
1.47098,2.16417
1.42274,-1.2699
1.36609,0.721948
1.56526,1.19902
1.49183,-1.61228
1.28286,0.307942
1.54012,1.51278
1.5054,-1.42477
1.28068,0.153534
1.53378,1.58323
1.50797,-1.37575
1.27983,0.105112
1.53218,1.6173
1.51088,-1.33384
1.27687,0.073884
1.52819,1.70007
1.51655,-1.23017
1.27499,-0.0330336
1.52153,1.81814
1.51195,-1.13834
1.28498,0.0907305
1.5386,1.47358
1.48337,-1.56421
1.28995,0.451618
1.55501,1.31782
1.4807,-1.62335
1.28739,0.416657
1.55442,1.34534
1.50024,-1.48828
1.28562,0.334534
1.5527,1.34621
1.49456,-1.5214
1.28887,0.411313
1.55708,1.30829
1.49459,-1.52999
1.28776,0.37509
1.55694,1.30827
1.49261,-1.53947
1.28874,0.385807
1.54514,1.41409
1.4913,-1.54981
1.2889,0.379414
1.54624,1.40545
1.49011,-1.55694
1.28917,0.373329
1.5474,1.39442
1.48843,-1.56761
1.28968,0.374572
1.54882,1.38314
1.48735,-1.57469
1.28594,0.405164
1.54983,1.37322
1.48564,-1.58503
1.28647,0.407299
1.55126,1.36136
1.48451,-1.59239
1.28666,0.398581
1.55226,1.35146
1.48284,-1.60227
1.28717,0.399755
1.55363,1.3396
1.49724,-1.51008
1.28738,0.392147
1.55466,1.32946
1.49571,-1.52009
1.28786,0.392171
1.55597,1.31772
1.49452,-1.52834
1.28809,0.385599
1.55703,1.3073
1.49301,-1.538
1.28853,0.384659
1.54471,1.41823
1.49176,-1.5464
1.28878,0.378898
1.54587,1.40799
1.49028,-1.55578
1.2892,0.377225
1.54719,1.39689
1.48899,-1.56425
1.28946,0.372063
1.54837,1.38645
1.48752,-1.57342
1.28595,0.409626
1.54965,1.37537
1.48618,-1.58192
1.28628,0.404973
1.55082,1.36477
1.48472,-1.5909
1.28667,0.40246
1.55206,1.35369
1.48335,-1.5994
1.28699,0.398117
1.55323,1.34294
1.49747,-1.50832
1.28737,0.39531
1.55444,1.33183
1.49616,-1.51725
1.2877,0.391185
1.5556,1.32096
1.49478,-1.52643
1.28806,0.388164
1.55679,1.30982
1.49344,-1.53533
1.28839,0.384192
1.54432,1.42126
1.49206,-1.54438
1.28874,0.381011
1.5456,1.41052
1.4907,-1.55323
1.28907,0.377145
1.54683,1.39987
1.4893,-1.56217
1.28941,0.373846
1.54808,1.38907
1.48792,-1.57096
1.28583,0.4098
1.5493,1.37832
1.48651,-1.5798
1.2862,0.406502
1.55053,1.36746
1.48511,-1.58851
1.28656,0.402842
1.55173,1.35662
1.48369,-1.59725
1.28692,0.399474
1.55294,1.34568
1.49784,-1.50585
1.28727,0.395844
1.55412,1.33476
1.49649,-1.51498
1.28762,0.392421
1.55531,1.32375
1.49514,-1.52402
1.28796,0.388808
1.55647,1.31274
1.49378,-1.53305
1.28831,0.385341
1.54401,1.42397
1.49242,-1.54201
1.28865,0.381736
1.54526,1.41333
1.49104,-1.55096
1.28899,0.378234
1.54652,1.40262
1.48967,-1.55984
1.28932,0.37463
1.54775,1.39189
1.48827,-1.5687
1.28965,0.371098
1.54899,1.3811
1.48688,-1.5775
1.2861,0.407305
1.55021,1.37029
1.48547,-1.58627
1.28647,0.403837
1.55142,1.35942
1.48406,-1.59498
1.28682,0.400311
1.55262,1.34853
1.48264,-1.60367
1.28718,0.396818
1.55382,1.33759
1.49684,-1.51261
1.28753,0.393282
1.555,1.32661
1.49549,-1.52168
1.28788,0.389769
1.55617,1.31559
1.49414,-1.53071
1.28822,0.386221
1.55734,1.30454
1.49277,-1.5397
1.28856,0.382688
1.54494,1.41609
1.4914,-1.54864
1.2889,0.379128
1.54619,1.4054
1.49002,-1.55755
1.28923,0.375577
1.54743,1.39467
1.48864,-1.5664
1.28957,0.372004
1.54867,1.3839
1.48724,-1.57522
1.28601,0.408227
1.54989,1.37309
1.48584,-1.584
1.28637,0.404729
1.55111,1.36225
1.48443,-1.59273
1.28673,0.401232
1.55231,1.35136
1.48301,-1.60142
1.28709,0.397719
1.55351,1.34043
1.49719,-1.51026
1.28744,0.394204
1.55469,1.32946
1.49584,-1.51934
1.28779,0.390677
1.55587,1.31845
1.49449,-1.52837
1.28813,0.387145
1.55704,1.30741
1.49313,-1.53737
1.28847,0.383602
1.54461,1.41885
1.49176,-1.54633
1.28881,0.380054
1.54587,1.40818
1.49038,-1.55524
1.28915,0.376496
1.54711,1.39746
1.489,-1.56411
1.28948,0.372933
1.54835,1.3867
1.4876,-1.57294
1.28592,0.409128
1.54958,1.3759
1.4862,-1.58173
1.28628,0.405638
1.55079,1.36506
1.48479,-1.59047
1.28664,0.402138
1.552,1.35418
1.48338,-1.59917
1.28699,0.398632
1.5532,1.34326
1.49754,-1.50789
1.28735,0.395116
1.55439,1.33231
1.49619,-1.51699
1.2877,0.391593
1.55557,1.32131
1.49484,-1.52604
1.28804,0.388061
1.55673,1.31028
1.49348,-1.53504
1.28838,0.384522
1.54428,1.42161
1.49212,-1.54401
1.28872,0.380974
1.54554,1.41095
1.49074,-1.55293
1.28906,0.37742
1.54679,1.40024
1.48936,-1.56182
1.28939,0.373857
1.54803,1.38949
1.48797,-1.57065
1.28582,0.410033
1.54926,1.3787
1.48657,-1.57945
1.28619,0.406544
1.55048,1.36788
1.48516,-1.58821
1.28655,0.403047
1.55169,1.35701
1.48375,-1.59692
1.2869,0.399541
1.55289,1.3461
1.49788,-1.50553
1.28725,0.396028
1.55408,1.33515
1.49654,-1.51463
1.28761,0.392507
1.55526,1.32417
1.49519,-1.52369
1.28795,0.388977
1.55643,1.31314
1.49384,-1.53271
1.2883,0.38544
1.54396,1.42437
1.49247,-1.54169
1.28864,0.381895
1.54522,1.41372
1.4911,-1.55062
1.28897,0.378342
1.54647,1.40302
1.48972,-1.55952
1.28931,0.374782
1.54771,1.39228
1.48833,-1.56837
1.28964,0.371213
1.54894,1.3815
1.48693,-1.57718
1.28609,0.407449
1.55016,1.37069
1.48553,-1.58594
1.28645,0.403954
1.55138,1.35983
1.48411,-1.59466
1.28681,0.400451
1.55258,1.34893
1.48269,-1.60334
1.28716,0.39694
1.55377,1.33799
1.49689,-1.51228
1.28751,0.39342
1.55496,1.32702
1.49554,-1.52135
1.28786,0.389893
1.55613,1.316
1.49419,-1.53038
