# initial_x = 1
x,y
1.0101,1.01899
1.02037,1.03631
1.03082,1.0519
1.04141,1.0657
1.05212,1.07765
1.06295,1.08769
1.07387,1.09577
1.08486,1.10182
1.0959,1.1058
1.10697,1.10766
1.11805,1.10736
1.12911,1.10485
1.14014,1.10009
1.1511,1.09305
1.16199,1.0837
1.17277,1.07202
1.18342,1.058
1.19392,1.04161
1.20425,1.02287
1.21437,1.00176
1.22427,0.978301
1.23393,0.952508
1.24332,0.924408
1.25241,0.894031
1.26119,0.861422
1.26963,0.826628
1.27772,0.789709
1.28542,0.750731
1.29272,0.709771
1.29961,0.666912
1.30606,0.622246
1.31205,0.575874
1.31757,0.527903
1.3226,0.47845
1.32713,0.427636
1.33115,0.375591
1.33464,0.32245
1.3376,0.268352
1.34,0.213443
1.34186,0.157871
1.34316,0.10179
1.3439,0.0453522
1.34407,-0.0112847
1.34367,-0.0679638
1.34271,-0.124528
1.34118,-0.180821
1.33909,-0.236689
1.33645,-0.291978
1.33326,-0.346541
1.32952,-0.400231
1.32525,-0.452909
1.32047,-0.504439
1.31517,-0.554693
1.30938,-0.603547
1.3031,-0.650887
1.29637,-0.696604
1.28918,-0.740597
1.28156,-0.782775
1.27353,-0.823052
1.26511,-0.861354
1.25631,-0.897614
1.24716,-0.931773
1.23768,-0.96378
1.22789,-0.993595
1.21782,-1.02118
1.20748,-1.04652
1.19689,-1.06959
1.18609,-1.09039
1.17509,-1.1089
1.16392,-1.12514
1.1526,-1.13911
1.14115,-1.15084
1.12959,-1.16034
1.11795,-1.16765
1.10624,-1.17279
1.0945,-1.17581
1.08273,-1.17675
1.07097,-1.17566
1.05923,-1.17257
1.04752,-1.16755
1.03588,-1.16065
1.02432,-1.15192
1.01285,-1.14143
1.00149,-1.12923
0.99027,-1.11538
0.979192,-1.09995
0.968276,-1.083
0.957537,-1.06459
0.946989,-1.04478
0.936646,-1.02364
0.926521,-1.00122
0.916625,-0.977603
0.906972,-0.952833
0.897572,-0.926977
0.888436,-0.900095
0.879574,-0.872245
0.870994,-0.843486
0.862707,-0.813874
0.85472,-0.783467
0.84704,-0.75232
0.839675,-0.720485
0.832632,-0.688016
0.825917,-0.654965
0.819535,-0.621381
0.813491,-0.587315
0.80779,-0.552815
0.802436,-0.517927
0.797433,-0.482697
0.792783,-0.447172
0.78849,-0.411395
0.784556,-0.37541
0.780982,-0.339258
0.777771,-0.302981
0.774923,-0.266621
0.772439,-0.230217
0.770319,-0.193808
0.768563,-0.157434
0.76717,-0.121133
0.76614,-0.0849431
0.76547,-0.048901
0.765161,-0.0130439
0.765209,0.0225912
0.765612,0.057968
0.766367,0.0930503
0.767472,0.127802
0.768922,0.162187
0.770714,0.196169
0.772844,0.229713
0.775307,0.262783
0.778098,0.295342
0.781212,0.327355
0.784643,0.358786
0.788386,0.389598
0.792433,0.419754
0.796778,0.44922
0.801415,0.477956
0.806335,0.505927
0.811531,0.533096
0.816994,0.559424
0.822716,0.584876
0.828688,0.609412
0.834901,0.632995
0.841345,0.655588
0.84801,0.677153
0.854885,0.697651
0.861959,0.717046
0.869222,0.7353
0.876661,0.752374
0.884265,0.768234
0.892022,0.782841
0.899918,0.79616
0.90794,0.808156
0.916076,0.818794
0.924312,0.82804
0.932632,0.835863
0.941024,0.84223
0.949472,0.847112
0.957961,0.85048
0.966476,0.852308
0.975002,0.852571
0.983522,0.851246
0.992022,0.848313
1.00048,0.843755
1.00889,0.837556
1.01723,0.829703
1.02548,0.820187
1.03363,0.809003
1.04165,0.796148
1.04954,0.781623
1.05728,0.765432
1.06485,0.747584
1.07223,0.728093
1.0794,0.706974
1.08636,0.684249
1.09308,0.659944
1.09956,0.634089
1.10576,0.606717
1.11168,0.577869
1.11731,0.547587
1.12263,0.515919
1.12763,0.482918
1.13229,0.44864
1.1366,0.413146
1.14054,0.376501
1.14412,0.338772
1.14732,0.300033
1.15012,0.26036
1.15252,0.21983
1.15451,0.178525
1.15609,0.13653
1.15724,0.0939306
1.15797,0.0508155
1.15826,0.00727415
1.15811,-0.0366026
1.15752,-0.0807231
1.1565,-0.124996
1.15502,-0.169328
1.15311,-0.21363
1.15075,-0.257809
1.14795,-0.301778
